source_ip,destination_ip,protocol,bytes_sent,bytes_received,timestamp
141.242.218.133/9,54.53.23.47/7,HDLC,13715,3517,1728259200000
253.157.170.255/12,241.85.142.207/20,CIFS,14460,10207,1728259200000
0.124.74.56/29,238.230.209.205/29,HTTPS,5062,8908,1728259200000
202.51.193.244/15,177.108.193.87/26,IGMP,3682,4757,1728259200000
210.23.143.230/17,164.62.129.214/1,DNS,12393,2478,1728259200000
238.170.245.236/25,93.208.50.34/22,ESP,7432,4283,1728259200000
78.161.120.197/26,243.52.107.67/8,PIM,7979,6993,1728259200000
215.67.136.48/11,71.158.119.83/22,HSRP,12133,4323,1728259200000
214.72.188.45/26,181.195.208.3/21,HTTPS,3943,1798,1728259200000
240.3.40.253/5,59.140.43.7/27,IMAP,6737,1376,1728259200000
193.33.132.255/29,94.39.140.87/7,L2TP,806,5180,1728259200000
183.237.124.129/28,177.211.160.246/31,OSPF,11974,4205,1728259200000
201.39.154.160/19,82.209.89.29/20,TFTP,9605,1340,1728259200000
69.146.86.88/21,146.130.173.219/5,DNS,1454,770,1728259200000
49.103.89.173/13,160.205.155.0/3,NDP,13331,2734,1728259200000
252.18.227.109/23,217.82.234.104/30,LDAP,9841,3519,1728259200000
84.131.26.76/16,76.197.77.174/27,RIP,7159,11989,1728259200000
192.186.149.18/26,48.4.57.69/17,EIGRP,3034,8856,1728259200000
29.140.167.34/16,226.88.72.156/11,DHCP,1163,3766,1728259200000
93.189.74.34/10,55.139.190.126/23,TCP,6700,266,1728259200000
45.223.179.240/25,233.203.190.98/3,DHCP,2917,5092,1728259200000
107.146.84.157/18,137.207.116.202/7,SNMP,8533,14693,1728259200000
54.194.15.26/4,87.234.170.244/10,CDP,10007,525,1728259200000
38.51.153.186/7,237.121.250.128/8,TCP,12549,2520,1728259200000
191.154.0.17/19,69.38.24.148/5,NDP,12519,14607,1728259200000
128.251.224.98/4,150.207.12.162/3,DHCP,12620,12249,1728259200000
23.91.50.134/22,58.5.232.135/29,PPTP,8075,9215,1728259200000
70.99.104.11/17,144.209.234.37/20,RSVP,6404,5231,1728259200000
47.178.6.123/21,129.79.165.183/7,PIM,7675,10122,1728259200000
128.148.119.2/3,231.111.41.149/24,CDP,11121,9470,1728259200000
17.172.232.125/24,13.153.76.79/20,PIM,11321,7315,1728259200000
36.192.206.241/27,3.119.240.89/11,SIP,2548,11862,1728259200000
167.185.32.157/20,88.233.135.205/4,IGMP,14251,3890,1728259200000
183.43.71.105/31,8.0.249.70/7,HDLC,10124,2547,1728259200000
254.159.5.70/3,7.146.66.144/20,PPTP,7563,8917,1728259200000
220.191.36.177/5,140.239.66.238/27,ICMP,11164,3392,1728259200000
184.148.128.164/24,6.135.199.172/30,SCTP,4737,14804,1728259200000
107.67.121.240/9,25.10.23.251/27,L2TP,4600,13971,1728259200000
4.137.238.92/24,254.131.83.151/3,CIFS,4779,13325,1728259200000
84.196.12.154/20,115.184.222.244/21,STP,4042,14183,1728259200000
193.66.215.24/9,161.148.220.84/26,PPP,14595,3378,1728259200000
179.203.115.20/26,231.80.163.4/18,PIM,12067,2335,1728259200000
28.237.188.11/17,52.89.162.57/25,RIP,12814,5175,1728259200000
62.85.74.109/30,181.39.246.45/28,HTTPS,13704,4080,1728259200000
128.247.153.30/14,71.68.126.90/5,Telnet,7767,13519,1728259200000
233.206.121.127/30,187.49.13.107/26,BGP,11830,10243,1728259200000
33.173.75.178/24,235.216.255.146/25,L2TP,3927,3849,1728259200000
142.236.127.104/26,228.208.67.52/18,IMAP,2485,4220,1728259200000
212.35.201.138/22,112.109.189.212/12,RTP,12650,12590,1728259200000
216.0.17.119/24,191.140.94.178/4,CDP,3797,1002,1728259200000
8.196.217.206/24,249.190.244.139/6,L2TP,5242,13979,1728259200000
10.109.203.20/1,107.171.82.64/5,HSRP,2201,13236,1728259200000
2.79.117.227/4,128.210.74.69/3,VTP,11159,7552,1728259200000
34.146.27.38/24,188.124.81.39/10,CIFS,13967,2285,1728259200000
150.182.131.74/26,134.151.218.33/9,LDP,14017,9538,1728259200000
107.162.31.146/30,35.124.81.188/19,GRE,10997,12394,1728259200000
130.192.177.198/21,35.247.210.92/16,LDAP,10833,12528,1728259200000
36.73.35.2/23,242.21.92.36/15,LDAP,10090,7327,1728259200000
136.161.166.119/9,187.102.225.57/10,PPP,6525,2479,1728259200000
229.90.142.22/20,33.13.171.80/1,EIGRP,2501,679,1728259200000
173.1.30.90/11,118.12.127.111/31,RTSP,2989,4085,1728259200000
58.117.101.153/20,29.153.231.130/4,NDP,7989,4382,1728259200000
146.225.29.45/2,74.236.17.223/12,RIP,13102,1846,1728259200000
4.86.60.57/20,250.236.21.135/17,RSVP,7701,1552,1728259200000
29.155.158.101/1,149.76.135.216/29,HTTP,12952,2878,1728259200000
231.171.72.33/8,83.84.110.93/7,NDP,4442,13851,1728259200000
167.195.69.209/20,247.40.183.220/29,NFS,4897,13097,1728259200000
121.0.142.200/9,158.168.96.219/6,VTP,2463,2485,1728259200000
33.222.147.228/30,242.59.137.222/16,NDP,2763,4161,1728259200000
229.68.97.151/23,24.121.75.195/16,HSRP,10511,12101,1728259200000
194.211.227.208/21,102.132.229.135/16,NDP,13227,7048,1728259200000
127.194.103.202/16,117.166.244.176/30,DNS,7688,14602,1728259200000
135.18.51.83/4,35.208.194.9/17,TFTP,4443,3281,1728259200000
35.119.91.205/18,238.99.68.189/30,SSH,8264,3760,1728259200000
66.217.64.91/5,11.118.165.217/21,STP,11628,12414,1728259200000
7.21.38.41/17,251.10.159.175/2,RIP,5455,239,1728259200000
17.199.36.23/28,128.15.82.17/2,MPLS,1742,11748,1728259200000
193.47.186.158/7,17.148.0.79/9,HDLC,10011,14353,1728259200000
42.49.198.88/22,60.46.177.203/15,IGMP,369,14042,1728259200000
82.226.15.222/9,40.88.230.213/1,EIGRP,10973,4531,1728259200000
25.166.182.12/7,67.120.216.83/29,AH,13014,10528,1728259200000
230.152.144.124/9,188.252.193.130/4,FTP,6785,730,1728259200000
77.177.43.110/11,254.105.45.119/5,HDLC,4392,9381,1728259200000
55.135.51.93/11,241.180.35.35/7,FTP,2172,7098,1728259200000
167.239.142.174/4,71.111.150.244/30,EIGRP,3679,5097,1728259200000
141.158.124.165/31,116.34.198.86/31,DCCP,14883,6130,1728259200000
92.66.190.199/8,26.120.41.41/5,NFS,5956,9577,1728259200000
64.118.121.170/20,182.18.174.127/6,PIM,211,4694,1728259200000
11.185.139.7/23,116.203.143.5/6,HTTPS,5584,13495,1728259200000
189.144.86.48/11,99.83.139.40/3,OSPF,14145,4678,1728259200000
40.115.43.3/10,194.130.97.145/14,VTP,3540,9569,1728259200000
91.227.225.31/6,172.136.73.71/13,ARP,12537,13467,1728259200000
189.150.141.69/7,1.50.131.94/5,VRRP,7719,2111,1728259200000
94.32.142.2/2,141.23.41.188/24,RSVP,13879,4386,1728259200000
167.152.10.78/18,2.58.176.106/26,GTP,3578,2352,1728259200000
210.59.109.207/15,158.97.25.130/8,ESP,14572,7379,1728259200000
146.182.243.243/11,251.139.29.8/11,LLDP,10629,2727,1728259200000
120.133.14.190/5,33.37.215.134/17,DNS,10964,12336,1728259200000
142.175.12.31/6,140.139.237.17/27,RIP,5300,9003,1728259200000
98.190.38.213/25,127.253.35.84/9,SNMP,14871,14913,1728259200000
13.64.148.20/21,106.182.190.247/23,SMB,9810,9187,1728259200000
209.173.8.79/15,180.116.238.236/14,PPP,9026,8785,1728259200000
